sitio,par,trt,bq,rinde_aj,ma_sev,re_sev,rh_sev
mada,102,1,1,7089,0,0,0.1
mada,103,2,1,7097,0,0,0
mada,104,3,1,7108,0,0,0
mada,105,4,1,7058,0,0,0
mada,106,5,1,6750,0,0,0
mada,107,6,1,7000,0,0,0
mada,108,7,1,6813,0,0,0
mada,109,8,1,7333,0,0,0
mada,111,9,1,7250,0,0,0
mada,101,10,1,7243,0,0,0
mada,110,11,1,7167,0,0,0
mada,205,1,2,6680,0,0,0
mada,204,2,2,7349,0,0,0
mada,208,3,2,7024,0,0,0
mada,206,4,2,6822,0,0,0
mada,203,5,2,7351,0,0,0
mada,202,6,2,6540,0,0,0
mada,209,7,2,7944,0,0,0
mada,207,8,2,7802,0,0,0
mada,211,9,2,7867,0,0,0
mada,201,10,2,7314,0.2,0.1,0
mada,210,11,2,7718,0.1,0,0
mada,309,1,3,6903,0,0,0
mada,307,2,3,7644,0,0,0
mada,303,3,3,7488,0,0,0
mada,304,4,3,7300,0,0,0
mada,308,5,3,7535,0,0,0
mada,306,6,3,6635,0,0,0
mada,302,7,3,6804,0,0,0
mada,305,8,3,7329,0,0,0
mada,310,9,3,7717,0,0,0
mada,311,10,3,7566,0,0,0
mada,301,11,3,7284,0,0,0
neco,101,1,1,6176,NA,NA,NA
neco,102,2,1,7026,NA,NA,NA
neco,103,3,1,5976,NA,NA,NA
neco,104,4,1,6477,NA,NA,NA
neco,105,5,1,5883,NA,NA,NA
neco,106,6,1,5964,NA,NA,NA
neco,107,7,1,6263,NA,NA,NA
neco,108,8,1,6624,NA,NA,NA
neco,206,1,2,5910,NA,NA,NA
neco,205,2,2,6038,NA,NA,NA
neco,207,3,2,5731,NA,NA,NA
neco,202,4,2,5699,NA,NA,NA
neco,204,5,2,6219,NA,NA,NA
neco,203,6,2,6182,NA,NA,NA
neco,208,7,2,6178,NA,NA,NA
neco,201,8,2,6145,NA,NA,NA
neco,308,1,3,6095,NA,NA,NA
neco,306,2,3,5695,NA,NA,NA
neco,304,3,3,6686,NA,NA,NA
neco,305,4,3,5933,NA,NA,NA
neco,307,5,3,6320,NA,NA,NA
neco,301,6,3,5769,NA,NA,NA
neco,303,7,3,5917,NA,NA,NA
neco,302,8,3,6563,NA,NA,NA
balc,102,1,1,6623,NA,NA,NA
balc,204,1,2,6405,NA,NA,NA
balc,308,1,3,6489,NA,NA,NA
balc,103,2,1,7470,NA,NA,NA
balc,203,2,2,7379,NA,NA,NA
balc,306,2,3,7219,NA,NA,NA
balc,104,3,1,7191,NA,NA,NA
balc,208,3,2,7292,NA,NA,NA
balc,302,3,3,6841,NA,NA,NA
balc,105,4,1,7565,NA,NA,NA
balc,206,4,2,6601,NA,NA,NA
balc,303,4,3,6590,NA,NA,NA
balc,106,5,1,7259,NA,NA,NA
balc,202,5,2,7798,NA,NA,NA
balc,307,5,3,7036,NA,NA,NA
balc,107,6,1,7334,NA,NA,NA
balc,201,6,2,7341,NA,NA,NA
balc,305,6,3,6317,NA,NA,NA
balc,108,7,1,6923,NA,NA,NA
balc,209,7,2,6924,NA,NA,NA
balc,301,7,3,7839,NA,NA,NA
balc,109,8,1,7758,NA,NA,NA
balc,207,8,2,6614,NA,NA,NA
balc,304,8,3,6763,NA,NA,NA
balc,101,9,1,6925,NA,NA,NA
balc,205,9,2,6553,NA,NA,NA
balc,309,9,3,6861,NA,NA,NA
mdp,102,1,1,7700,NA,NA,NA
mdp,103,2,1,7281,NA,NA,NA
mdp,104,3,1,7461,NA,NA,NA
mdp,105,4,1,7784,NA,NA,NA
mdp,106,5,1,7479,NA,NA,NA
mdp,107,6,1,7694,NA,NA,NA
mdp,108,7,1,7797,NA,NA,NA
mdp,109,8,1,7797,NA,NA,NA
mdp,101,9,1,7397,NA,NA,NA
mdp,204,1,2,6812,NA,NA,NA
mdp,203,2,2,7093,NA,NA,NA
mdp,208,3,2,7882,NA,NA,NA
mdp,206,4,2,7786,NA,NA,NA
mdp,202,5,2,8449,NA,NA,NA
mdp,201,6,2,8834,NA,NA,NA
mdp,209,7,2,8174,NA,NA,NA
mdp,207,8,2,7858,NA,NA,NA
mdp,205,9,2,7437,NA,NA,NA
mdp,308,1,3,7338,NA,NA,NA
mdp,306,2,3,7882,NA,NA,NA
mdp,302,3,3,8106,NA,NA,NA
mdp,303,4,3,7433,NA,NA,NA
mdp,307,5,3,8323,NA,NA,NA
mdp,305,6,3,7490,NA,NA,NA
mdp,301,7,3,7979,NA,NA,NA
mdp,304,8,3,8206,NA,NA,NA
mdp,309,9,3,8121,NA,NA,NA
tan,101,1,1,5234,NA,NA,NA
tan,212,1,2,5130,NA,NA,NA
tan,307,1,3,5941,NA,NA,NA
tan,102,2,1,6426,NA,NA,NA
tan,205,2,2,5791,NA,NA,NA
tan,314,2,3,5868,NA,NA,NA
tan,103,3,1,6666,NA,NA,NA
tan,201,3,2,5812,NA,NA,NA
tan,308,3,3,5270,NA,NA,NA
tan,104,4,1,5885,NA,NA,NA
tan,211,4,2,5473,NA,NA,NA
tan,303,4,3,5112,NA,NA,NA
tan,105,5,1,6422,NA,NA,NA
tan,213,5,2,6075,NA,NA,NA
tan,312,5,3,5397,NA,NA,NA
tan,106,6,1,4845,NA,NA,NA
tan,203,6,2,5794,NA,NA,NA
tan,313,6,3,6566,NA,NA,NA
tan,107,7,1,6942,NA,NA,NA
tan,208,7,2,5340,NA,NA,NA
tan,304,7,3,6664,NA,NA,NA
tan,108,8,1,6501,NA,NA,NA
tan,215,8,2,5195,NA,NA,NA
tan,301,8,3,5735,NA,NA,NA
tan,109,9,1,5359,NA,NA,NA
tan,202,9,2,6421,NA,NA,NA
tan,315,9,3,6027,NA,NA,NA
tan,110,10,1,5389,NA,NA,NA
tan,214,10,2,5538,NA,NA,NA
tan,306,10,3,5542,NA,NA,NA
tan,111,11,1,5744,NA,NA,NA
tan,209,11,2,5979,NA,NA,NA
tan,310,11,3,5448,NA,NA,NA
tan,112,12,1,5948,NA,NA,NA
tan,204,12,2,7185,NA,NA,NA
tan,302,12,3,6595,NA,NA,NA
tan,113,13,1,5406,NA,NA,NA
tan,210,13,2,5395,NA,NA,NA
tan,309,13,3,5887,NA,NA,NA
tan,114,14,1,5410,NA,NA,NA
tan,207,14,2,6453,NA,NA,NA
tan,305,14,3,5755,NA,NA,NA
tan,115,15,1,5602,NA,NA,NA
tan,206,15,2,6753,NA,NA,NA
tan,311,15,3,6319,NA,NA,NA
